Ephemeris time,Sol,x1,y1,z1,vx1,vy1,vz1,ang,x2,y2,z2,vx2,vy2,vz2,ang1,px,py,pz,ang3,hga,sol and time
515678468.2,1331,-33195952.61,-70755322.04,-31113168.43,-0.352,8.013,2.642,280.597,33197655.4,70758949.17,31114763.05,0.351,-8.017,-2.644,280.611,33197655.4,70758949.17,31114763.05,280.611,89.45, 1/01331:19:27:07:10575
515678469.2,1331,-33195952.96,-70755314.03,-31113165.79,-0.352,8.013,2.642,280.597,33197655.75,70758941.16,31114760.41,0.351,-8.017,-2.644,280.611,33197655.75,70758941.16,31114760.41,280.611,89.453, 1/01331:19:27:08:07899
515678470.2,1331,-33195953.31,-70755306.02,-31113163.15,-0.352,8.013,2.642,280.597,33197656.11,70758933.14,31114757.76,0.35,-8.017,-2.644,280.611,33197656.11,70758933.14,31114757.76,280.611,89.456, 1/01331:19:27:09:05224
515678471.2,1331,-33195953.66,-70755298,-31113160.5,-0.352,8.013,2.642,280.597,33197656.46,70758925.12,31114755.12,0.35,-8.017,-2.644,280.611,33197656.46,70758925.12,31114755.12,280.611,89.459, 1/01331:19:27:10:02548
515678472.2,1331,-33195954.01,-70755289.99,-31113157.86,-0.352,8.013,2.642,280.597,33197656.81,70758917.11,31114752.48,0.35,-8.017,-2.644,280.611,33197656.81,70758917.11,31114752.48,280.611,89.462, 1/01331:19:27:10:99873
515678473.2,1331,-33195954.37,-70755281.98,-31113155.22,-0.352,8.013,2.642,280.597,33197657.16,70758909.09,31114749.83,0.35,-8.017,-2.644,280.611,33197657.16,70758909.09,31114749.83,280.611,89.465, 1/01331:19:27:11:97197
515678474.2,1331,-33195954.72,-70755273.96,-31113152.58,-0.352,8.013,2.642,280.597,33197657.51,70758901.07,31114747.19,0.35,-8.017,-2.644,280.611,33197657.51,70758901.07,31114747.19,280.611,89.469, 1/01331:19:27:12:94522
515678475.2,1331,-33195955.07,-70755265.95,-31113149.94,-0.352,8.013,2.642,280.597,33197657.86,70758893.05,31114744.55,0.35,-8.017,-2.644,280.611,33197657.86,70758893.05,31114744.55,280.611,89.472, 1/01331:19:27:13:91846
515678476.2,1331,-33195955.42,-70755257.94,-31113147.29,-0.352,8.013,2.642,280.597,33197658.21,70758885.04,31114741.9,0.35,-8.017,-2.644,280.611,33197658.21,70758885.04,31114741.9,280.611,89.475, 1/01331:19:27:14:89171
515678477.2,1331,-33195955.77,-70755249.92,-31113144.65,-0.352,8.013,2.642,280.597,33197658.56,70758877.02,31114739.26,0.35,-8.017,-2.644,280.611,33197658.56,70758877.02,31114739.26,280.611,89.478, 1/01331:19:27:15:86495
